vvonn,kkonn,kello,vakav,onntyyppi,lkmhapa,lkmlaka,lkmjk,lkmpp,lkmmo,lkmmp,lkmmuukulk,x,y,GML_ID,NATCODE,NAMEFIN,NAMESWE,LANDAREA,FRESHWAREA,SEAWAREA,TOTALAREA
"2018","3",07.00-07.59,"2","6","0","1","1","0","0","0","0",391839.58,6675817.58,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
"2018","3",18.00-18.59,"3","6","1","0","1","0","0","0","0",393863.27,6681521.58,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
"2018","6",12.00-12.59,"2","6","1","0","1","0","0","0","0",384051.63,6673969.64,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
"2018","8",17.00-17.59,"2","6","1","0","1","0","0","0","0",387147.38,6674537.02,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
"2018","11",18.00-18.59,"2","6","1","0","1","0","0","0","0",381048.42,6671297.97,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
"2018","9",09.00-09.59,"2","6","1","0","2","0","0","0","0",381227.24,6671315.84,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
"2018","3",10.00-10.59,"2","6","1","0","1","0","0","0","0",393474.52,6676430.32,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
"2018","3",17.00-17.59,"2","6","0","0","1","0","0","0","1",385616.40,6672135.11,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
"2018","9",21.00-21.59,"2","6","0","1","1","0","0","0","0",385563.40,6674966.95,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
"2018","9",09.00-09.59,"2","6","1","0","1","0","0","0","0",384696.53,6672325.12,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
"2018","1",13.00-13.59,"2","6","1","0","1","0","0","0","0",393404.91,6679650.08,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
"2018","1",19.00-19.59,"2","6","1","0","1","0","0","0","0",384385.51,6672326.58,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
"2018","7",23.00-23.59,"2","6","1","0","1","0","0","0","0",382473.74,6676306.85,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
"2018","11",13.00-13.59,"2","6","1","0","1","0","0","0","0",384519.27,6673739.83,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
"2018","4",12.00-12.59,"2","6","1","0","1","0","0","0","0",385521.27,6671779.49,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
"2018","11",07.00-07.59,"2","6","1","0","1","0","0","0","0",391767.72,6675393.56,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
"2018","6",15.00-15.59,"2","6","1","0","1","0","0","0","0",387944.36,6678857.70,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
"2018","12",08.00-08.59,"2","6","1","0","1","0","0","0","0",389811.87,6678622.87,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
"2018","1",16.00-16.59,"2","6","1","0","1","0","0","0","0",383792.47,6674122.82,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
"2018","11",01.00-01.59,"2","6","1","0","1","0","0","0","0",385561.59,6672227.21,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
"2018","11",19.00-19.59,"2","6","1","0","1","0","0","0","0",386243.23,6677084.75,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
"2018","11",18.00-18.59,"2","6","1","0","1","0","0","0","0",383563.21,6674550.09,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
"2018","1",11.00-11.59,"2","6","0","1","1","0","0","0","0",385961.99,6671391.34,"27817426","091",Helsinki,Helsingfors,214.25,0.91,500.32,715.48
